region,date,C.36*,alpha,beta,delta,gamma,others,sequences,cases
5,2020-06-09,0,0,0,0,0,1,1,3
5,2020-06-10,0,0,0,0,0,0,0,3
5,2020-06-11,0,0,0,0,0,0,0,6
5,2020-06-12,0,0,0,0,0,2,2,10
5,2020-06-13,0,0,0,0,0,1,1,3
5,2020-06-14,0,0,0,0,0,0,0,6
5,2020-06-15,0,0,0,0,0,5,5,9
5,2020-06-16,0,0,0,0,0,0,0,4
5,2020-06-17,0,0,0,0,0,1,1,5
5,2020-06-18,0,0,0,0,0,0,0,6
5,2020-06-19,0,0,0,0,0,1,1,5
5,2020-06-20,0,0,0,0,0,1,1,7
5,2020-06-21,0,0,0,0,0,0,0,2
5,2020-06-22,0,0,0,0,0,1,1,13
5,2020-06-23,0,0,0,0,0,0,0,11
5,2020-06-24,0,0,0,0,0,2,2,21
5,2020-06-25,0,0,0,0,0,3,3,18
5,2020-06-26,0,0,0,0,0,2,2,34
5,2020-06-27,0,0,0,0,0,0,0,10
5,2020-06-28,0,0,0,0,0,0,0,4
5,2020-06-29,0,0,0,0,0,6,6,62
5,2020-06-30,0,0,0,0,0,1,1,59
5,2020-07-01,0,0,0,0,0,3,3,42
5,2020-07-02,0,0,0,0,0,4,4,46
5,2020-07-03,0,0,0,0,0,4,4,27
5,2020-07-04,0,0,0,0,0,0,0,9
5,2020-07-05,0,0,0,0,0,0,0,14
5,2020-07-06,0,0,0,0,0,5,5,30
5,2020-07-07,0,0,0,0,0,4,4,38
5,2020-07-08,0,0,0,0,0,3,3,32
5,2020-07-09,0,0,0,0,0,2,2,27
5,2020-07-10,0,0,0,0,0,2,2,27
5,2020-07-11,0,0,0,0,0,1,1,28
5,2020-07-12,0,0,0,0,0,1,1,16
5,2020-07-13,0,0,0,0,0,1,1,32
5,2020-07-14,0,0,0,0,0,6,6,38
5,2020-07-15,0,0,0,0,0,3,3,35
5,2020-07-16,0,0,0,0,0,3,3,32
5,2020-07-17,0,0,0,0,0,3,3,28
5,2020-07-18,0,0,0,0,0,0,0,33
5,2020-07-19,0,0,0,0,0,2,2,11
5,2020-07-20,0,0,0,0,0,4,4,45
5,2020-07-21,0,0,0,0,0,4,4,45
5,2020-07-22,0,0,0,0,0,6,6,34
5,2020-07-23,0,0,0,0,0,3,3,27
5,2020-07-24,0,0,0,0,0,2,2,35
5,2020-07-25,0,0,0,0,0,0,0,23
5,2020-07-26,0,0,0,0,0,3,3,9
5,2020-07-27,0,0,0,0,0,7,7,58
5,2020-07-28,0,0,0,0,0,5,5,30
5,2020-07-29,0,0,0,0,0,2,2,39
5,2020-07-30,0,0,0,0,0,4,4,49
5,2020-07-31,0,0,0,0,0,2,2,32
5,2020-08-01,0,0,0,0,0,0,0,15
5,2020-08-02,0,0,0,0,0,0,0,18
5,2020-08-03,0,0,0,0,0,3,3,47
5,2020-08-04,0,0,0,0,0,8,8,63
5,2020-08-05,0,0,0,0,0,7,7,43
5,2020-08-06,0,0,0,0,0,1,1,50
5,2020-08-07,0,0,0,0,0,5,5,63
5,2020-08-08,0,0,0,0,0,4,4,52
5,2020-08-09,0,0,0,0,0,1,1,30
5,2020-08-10,0,0,0,0,0,4,4,88
5,2020-08-11,0,0,0,0,0,4,4,74
5,2020-08-12,0,0,0,0,0,7,7,70
5,2020-08-13,0,0,0,0,0,3,3,88
5,2020-08-14,0,0,0,0,0,0,0,75
5,2020-08-15,0,0,0,0,0,1,1,50
5,2020-08-16,0,0,0,0,0,0,0,50
5,2020-08-17,0,0,0,0,0,2,2,99
5,2020-08-18,0,0,0,0,0,1,1,97
5,2020-08-19,0,0,0,0,0,2,2,84
5,2020-08-20,0,0,0,0,0,4,4,99
5,2020-08-21,0,0,0,0,0,7,7,84
5,2020-08-22,0,0,0,0,0,3,3,40
5,2020-08-23,0,0,0,0,0,3,3,38
5,2020-08-24,0,0,0,0,0,2,2,66
5,2020-08-25,0,0,0,0,0,4,4,95
5,2020-08-26,0,0,0,0,0,7,7,122
5,2020-08-27,0,0,0,0,0,8,8,91
5,2020-08-28,0,0,0,0,0,5,5,99
5,2020-08-29,0,0,0,0,0,6,6,49
5,2020-08-30,0,0,0,0,0,3,3,25
5,2020-08-31,0,0,0,0,0,5,5,93
5,2020-09-01,0,0,0,0,0,2,2,100
5,2020-09-02,0,0,0,0,0,8,8,89
5,2020-09-03,0,0,0,0,0,5,5,110
