,date,division,pangolinLineage,submittingLab,count
25176,2021-05-23,Thurgau,C.36.3,Viollier AG,1
25177,2021-03-02,Neuchâtel,B.1.160,"Genomics and Transcriptomics, Philip Morris International",5
25178,2021-08-09,Aargau,AY.33,"Department of Biosystems Science and Engineering, ETH Zürich",4
25179,2021-05-28,Ticino,C.36.3,,1
25180,2021-09-11,Zug,AY.41,"Department of Biosystems Science and Engineering, ETH Zürich",1
25181,2020-10-26,Bern,B.1.160.16,"Department of Biosystems Science and Engineering, ETH Zürich",3
25182,2021-01-27,Vaud,B.1.1.39,"Department of Biosystems Science and Engineering, ETH Zürich",1
25183,2021-08-16,Geneva,AY.4,"HUG, Laboratory of Virology and the Health2030 Genome Center",5
25184,2021-08-11,Aargau,B.1.617.2,Institute of Medical Virology,5
25185,2021-02-13,Valais,B.1.177.28,"HUG, Laboratory of Virology and the Health2030 Genome Center",1
25186,2020-11-13,Valais,B.1.160,"Department of Biosystems Science and Engineering, ETH Zürich",2
25187,2020-12-28,Vaud,B.1.36.35,"Department of Biosystems Science and Engineering, ETH Zürich",1
25188,2021-04-29,Valais,B.1.1.7,"Department of Biosystems Science and Engineering, ETH Zürich",3
25189,2020-12-26,Solothurn,B.1.1.7,Clinical Bacteriology,1
25190,2021-04-23,Sankt Gallen,B.1.1.7,"Department of Biosystems Science and Engineering, ETH Zürich",2
25191,2021-01-26,Vaud,B.1.160,"Department of Biosystems Science and Engineering, ETH Zürich",3
25192,2021-08-18,Fribourg,AY.39,"Microbiology, Dr. Risch",1
25193,2020-12-08,Geneva,B.1.177,"Department of Biosystems Science and Engineering, ETH Zürich",1
25194,2021-06-21,Bern,P.1,Institute for Infectious Diseases,1
25195,2020-08-23,Aargau,B.1.236,"Department of Biosystems Science and Engineering, ETH Zürich",1
25196,2021-03-29,Schaffhausen,B.1.1.7,"Department of Biosystems Science and Engineering, ETH Zürich",1
25197,2021-08-16,Bern,AY.33,"Department of Biosystems Science and Engineering, ETH Zürich",1
25198,2020-12-07,Schwyz,B.1.160,"Department of Biosystems Science and Engineering, ETH Zürich",1
25199,2021-02-01,Schwyz,B.1.177,"Department of Biosystems Science and Engineering, ETH Zürich",1
25200,2020-12-20,Aargau,B.1.1.70,"Department of Biosystems Science and Engineering, ETH Zürich",1
25201,2021-07-15,Vaud,AY.4,"HUG, Laboratory of Virology and the Health2030 Genome Center",1
25202,2020-11-30,Vaud,B.1.160.12,"Department of Biosystems Science and Engineering, ETH Zürich",3
25203,2021-07-21,Geneva,B.1.617.2,Genesupport,61
25204,2021-05-26,Zürich,AY.21,"Department of Biosystems Science and Engineering, ETH Zürich",1
